core_d_nm,distance_nm,B_NSD_nT_per_sqrtHz
19.4375,5.0,2373.7383726918406
19.53125,5.0,2428.9843387986393
19.625,5.0,2483.9867875850337
19.71875,5.0,2538.8421436213634
19.8125,5.0,2593.6429214032687
19.90625,5.0,2648.476840586462
20.0,5.0,2703.42626377356
5.0,5.09375,0.44026291045794996
5.09375,5.09375,0.46826178703218246
5.1875,5.09375,0.4976456926149138
5.28125,5.09375,0.5284747998847605
5.375,5.09375,0.5608123554733938
5.46875,5.09375,0.5947248656812106
5.5625,5.09375,0.630282293497484
5.65625,5.09375,0.6675582677000965
5.75,5.09375,0.706630304866965
5.84375,5.09375,0.7475800451926723
5.9375,5.09375,0.7904935030699518
6.03125,5.09375,0.8354613334669984
6.125,5.09375,0.8825791152084221
6.21875,5.09375,0.9319476523506065
6.3125,5.09375,0.9836732949316781
6.40625,5.09375,1.0378682804728956
6.5,5.09375,1.0946510977125115
6.59375,5.09375,1.1541468741658454
6.6875,5.09375,1.2164877892269659
6.78125,5.09375,1.281813514658989
6.875,5.09375,1.3502716844622353
6.96875,5.09375,1.4220183962633657
7.0625,5.09375,1.4972187465351225
7.15625,5.09375,1.5760474021365187
7.25,5.09375,1.6586892108584537
7.34375,5.09375,1.7453398538710898
7.4375,5.09375,1.836206543198331
7.53125,5.09375,1.9315087675929343
7.625,5.09375,2.031479090454901
7.71875,5.09375,2.136364003727623
7.8125,5.09375,2.246424842022936
7.90625,5.09375,2.361938761569789
8.0,5.09375,2.483199788954364
8.09375,5.09375,2.610519945024504
8.1875,5.09375,2.7442304497714254
8.28125,5.09375,2.884683014479859
8.375,5.09375,3.0322512279574827
8.46875,5.09375,3.1873320442197626
8.5625,5.09375,3.3503473796208545
8.65625,5.09375,3.52174582809007
8.75,5.09375,3.7020045038610556
8.84375,5.09375,3.8916310218731858
8.9375,5.09375,4.091165626887225
9.03125,5.09375,4.301183483297004
9.125,5.09375,4.522297138642424
9.21875,5.09375,4.755159174944888
9.3125,5.09375,5.000465063202076
9.40625,5.09375,5.258956237705071
9.5,5.09375,5.5314234082865275
9.59375,5.09375,5.818710130186147
9.6875,5.09375,6.121716652940152
9.78125,5.09375,6.441404071579537
9.875,5.09375,6.778798805470996
9.96875,5.09375,7.1349974323718275
10.0625,5.09375,7.511171907712072
10.15625,5.09375,7.908575201783843
10.25,5.09375,8.328547390429199
10.34375,5.09375,8.772522237997393
10.4375,5.09375,9.24203431481374
10.53125,5.09375,9.738726695193286
10.625,5.09375,10.264359286171217
10.71875,5.09375,10.820817841640594
10.8125,5.09375,11.410123721519692
10.90625,5.09375,12.034444460953386
11.0,5.09375,12.696105220423744
11.09375,5.09375,13.39760119404747
11.1875,5.09375,14.14161106031529
11.28125,5.09375,14.93101156712917
11.375,5.09375,15.768893351266167
11.46875,5.09375,16.658578101395182
11.5625,5.09375,17.603637183547438
11.65625,5.09375,18.607911858548565
11.75,5.09375,19.675535232412347
11.84375,5.09375,20.810956093129057
11.9375,5.09375,22.018964800701365
12.03125,5.09375,23.304721411735823
12.125,5.09375,24.673786235421264
12.21875,5.09375,26.132153034343386
12.3125,5.09375,27.686285101300086
12.40625,5.09375,29.34315446208161
12.5,5.09375,31.11028447400861
12.59375,5.09375,32.99579611079237
12.6875,5.09375,35.0084582458429
